Loại cây trồng,Điều kiện thời tiết,Hành động khuyến nghị,Mô tả chi tiết
Mía,Nắng nhẹ sau mưa,Dừng bón phân đạm,Hạn chế ảnh hưởng của vàng lá
Dưa leo,Nhiệt độ dao động mạnh trong ngày,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi suy kiệt
Ớt,Nhiệt độ cao > 35°C,Che chắn bằng lưới,Tăng khả năng chống chịu với rụng hoa
Thanh long,Trời nhiều mây,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của suy kiệt
Mía,Nhiều ngày nắng,Dừng bón phân đạm,Tăng khả năng chống chịu với nảy mầm kém
Ngô,Trời lạnh buổi sáng,Tưới nhỏ giọt,Bảo vệ cây khỏi ngập úng
Mía,Nắng gắt,Bón vôi cải tạo đất,Giảm nguy cơ thiếu nước
Lúa,Nhiệt độ cao > 35°C,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi héo rũ
Mía,Sương mù dày,Tỉa thưa cây con,Bảo vệ cây khỏi nảy mầm kém
Ớt,Trời âm u,Tăng cường thoát nước,Giảm nguy cơ bạc lá
Rau màu,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Tăng khả năng chống chịu với sốc nhiệt
Bắp cải,Mưa rào nhẹ,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi nảy mầm kém
Bắp cải,Nhiều ngày nắng,Tưới nước định kỳ,Hạn chế ảnh hưởng của thối rễ
Ngô,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Giảm nguy cơ rụng hoa
Chuối,Gió mạnh,Theo dõi sát thời tiết,Bảo vệ cây khỏi thối rễ
Sắn,Nhiệt độ thấp < 15°C,Tỉa thưa cây con,Hạn chế ảnh hưởng của bạc lá
Thanh long,Mưa lớn,Phun chế phẩm sinh học,Bảo vệ cây khỏi thối rễ
Lúa,Nắng gắt,Che phủ rơm/gỗ mục,Giúp cây tránh rụng hoa
Đậu phụng,Nhiều ngày nắng,Bắt sâu thủ công,Hạn chế ảnh hưởng của suy kiệt
Đậu phụng,Mưa lớn,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với nảy mầm kém
Lúa,Nhiều ngày nắng,Bắt sâu thủ công,Hạn chế ảnh hưởng của bạc lá
Ớt,Gió mạnh,Theo dõi sát thời tiết,Giảm nguy cơ sâu xanh
Xoài,Mưa rào nhẹ,Tưới nước định kỳ,Tăng khả năng chống chịu với vàng lá
Cà chua,Mưa rào nhẹ,Tăng cường thoát nước,Giúp cây tránh bạc lá
Cải bẹ,Nhiệt độ dao động mạnh trong ngày,Bón phân hữu cơ,Giảm nguy cơ thối rễ
Sắn,Gió mạnh,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi nảy mầm kém
Thanh long,Gió mạnh,Bón phân hữu cơ,Bảo vệ cây khỏi bạc lá
Dưa hấu,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Tăng khả năng chống chịu với vàng lá
Dưa leo,Mưa lớn,Tưới nhỏ giọt,Bảo vệ cây khỏi nấm bệnh
Dưa hấu,Mưa rào nhẹ,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của bạc lá
Dưa hấu,Nắng nhẹ sau mưa,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của thiếu nước
Thanh long,Nhiệt độ cao > 35°C,Che phủ rơm/gỗ mục,Giảm nguy cơ thối rễ
Cà tím,Độ ẩm thấp,Phun chế phẩm sinh học,Giảm nguy cơ đạo ôn
Cà tím,Mưa rào nhẹ,Che chắn bằng lưới,Giảm nguy cơ rụng hoa
Dưa leo,Trời lạnh buổi sáng,Tưới nhỏ giọt,Hạn chế ảnh hưởng của bạc lá
Xoài,Nhiệt độ dao động mạnh trong ngày,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của cháy lá
Cà tím,Nhiệt độ thấp < 15°C,Che chắn bằng lưới,Tăng khả năng chống chịu với sâu xanh
Dưa hấu,Trời âm u,Che chắn bằng lưới,Tăng khả năng chống chịu với thối rễ
Cải bẹ,Nắng gắt,Phun chế phẩm sinh học,Tăng khả năng chống chịu với cháy lá
Mía,Nhiều ngày nắng,Che chắn bằng lưới,Tăng khả năng chống chịu với héo rũ
Chuối,Nắng nhẹ sau mưa,Che chắn bằng lưới,Hạn chế ảnh hưởng của đạo ôn
Bắp cải,Sương mù dày,Che chắn bằng lưới,Tăng khả năng chống chịu với héo rũ
Chuối,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Giúp cây tránh nảy mầm kém
Ớt,Sương mù dày,Bắt sâu thủ công,Giúp cây tránh bạc lá
Mía,Nắng nhẹ sau mưa,Dừng bón phân đạm,Hạn chế ảnh hưởng của sốc nhiệt
Dưa hấu,Nhiệt độ thấp < 15°C,Theo dõi sát thời tiết,Giúp cây tránh sâu xanh
Lúa,Trời nhiều mây,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi sốc nhiệt
Thanh long,Có áp thấp nhiệt đới,Bắt sâu thủ công,Bảo vệ cây khỏi nảy mầm kém
Chuối,Gió mạnh,Tăng cường thoát nước,Bảo vệ cây khỏi héo rũ
Dưa hấu,Mưa rào nhẹ,Theo dõi sát thời tiết,Tăng khả năng chống chịu với nấm bệnh
Chuối,Mưa rào nhẹ,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với đạo ôn
Ngô,Trời âm u,Tỉa thưa cây con,Tăng khả năng chống chịu với nấm bệnh
Ngô,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Giúp cây tránh cháy lá
Lúa,Gió mạnh,Bón vôi cải tạo đất,Giảm nguy cơ sốc nhiệt
Mía,Mưa lớn,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của ngập úng
Ngô,Độ ẩm không khí cao,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với ngập úng
Ngô,Nắng gắt,Phun thuốc phòng bệnh,Bảo vệ cây khỏi đạo ôn
Ớt,Nắng nhẹ sau mưa,Theo dõi sát thời tiết,Giảm nguy cơ rụng hoa
Rau màu,Độ ẩm thấp,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với nấm bệnh
Dưa hấu,Mưa lớn,Bắt sâu thủ công,Tăng khả năng chống chịu với rụng hoa
Chuối,Gió mạnh,Tăng cường thoát nước,Giảm nguy cơ rụng hoa
Dưa hấu,Sương mù dày,Đào mương xung quanh ruộng,Bảo vệ cây khỏi nảy mầm kém
Ngô,Nhiệt độ cao > 35°C,Phun chế phẩm sinh học,Bảo vệ cây khỏi sốc nhiệt
Xoài,Mưa lớn,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của ngập úng
Bắp cải,Mưa rào nhẹ,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với ngập úng
Mía,Nhiệt độ thấp < 15°C,Phun thuốc phòng bệnh,Giảm nguy cơ bạc lá
Đậu phụng,Nhiều ngày nắng,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của suy kiệt
Dưa leo,Nhiệt độ cao > 35°C,Bón vôi cải tạo đất,Tăng khả năng chống chịu với sốc nhiệt
Cà tím,Độ ẩm không khí cao,Trì hoãn gieo trồng,Bảo vệ cây khỏi suy kiệt
Lúa,Nhiệt độ cao > 35°C,Theo dõi sát thời tiết,Bảo vệ cây khỏi vàng lá
Cà chua,Trời nhiều mây,Tỉa thưa cây con,Tăng khả năng chống chịu với sâu xanh
Xoài,Nhiệt độ dao động mạnh trong ngày,Bón vôi cải tạo đất,Bảo vệ cây khỏi suy kiệt
Sắn,Có áp thấp nhiệt đới,Che phủ rơm/gỗ mục,Giúp cây tránh nấm bệnh
Thanh long,Sương mù dày,Theo dõi sát thời tiết,Tăng khả năng chống chịu với ngập úng
Chuối,Có áp thấp nhiệt đới,Bón phân hữu cơ,Giảm nguy cơ thối rễ
Ớt,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Bảo vệ cây khỏi thối rễ
Chuối,Nắng nhẹ sau mưa,Phun chế phẩm sinh học,Giảm nguy cơ thối rễ
Dưa leo,Trời lạnh buổi sáng,Tưới nhỏ giọt,Giúp cây tránh ngập úng
Sắn,Độ ẩm không khí cao,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của héo rũ
Dưa hấu,Có áp thấp nhiệt đới,Che chắn bằng lưới,Bảo vệ cây khỏi thối rễ
Chuối,Mưa rào nhẹ,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của thối rễ
Sắn,Độ ẩm thấp,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của nấm bệnh
Cà tím,Mưa rào nhẹ,Che chắn bằng lưới,Tăng khả năng chống chịu với ngập úng
Ngô,Trời lạnh buổi sáng,Dừng bón phân đạm,Hạn chế ảnh hưởng của sâu xanh
Cà chua,Nắng nhẹ sau mưa,Tưới nước định kỳ,Giảm nguy cơ nấm bệnh
Mía,Nắng nhẹ sau mưa,Tưới nhỏ giọt,Bảo vệ cây khỏi thối rễ
Cải bẹ,Nhiệt độ thấp < 15°C,Bón phân hữu cơ,Tăng khả năng chống chịu với đạo ôn
Xoài,Mưa lớn,Tỉa thưa cây con,Bảo vệ cây khỏi thối rễ
Rau màu,Nhiệt độ cao > 35°C,Tưới nước định kỳ,Giúp cây tránh sâu xanh
Dưa hấu,Trời lạnh buổi sáng,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của héo rũ
Dưa hấu,Có áp thấp nhiệt đới,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi héo rũ
Cà tím,Nhiệt độ dao động mạnh trong ngày,Theo dõi sát thời tiết,Giúp cây tránh sâu xanh
Thanh long,Độ ẩm thấp,Che chắn bằng lưới,Giảm nguy cơ thối rễ
Bắp cải,Nắng gắt,Phun chế phẩm sinh học,Tăng khả năng chống chịu với thối rễ
Cà chua,Gió mạnh,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của đạo ôn
Cà chua,Nhiệt độ dao động mạnh trong ngày,Theo dõi sát thời tiết,Bảo vệ cây khỏi ngập úng
Sắn,Nắng nhẹ sau mưa,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi nấm bệnh
Dưa hấu,Có áp thấp nhiệt đới,Tưới nước định kỳ,Hạn chế ảnh hưởng của sốc nhiệt
Xoài,Trời nhiều mây,Bắt sâu thủ công,Hạn chế ảnh hưởng của nấm bệnh
Ngô,Nhiều ngày nắng,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh cháy lá
Ớt,Độ ẩm thấp,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với cháy lá
Đậu phụng,Nhiệt độ cao > 35°C,Tỉa thưa cây con,Giúp cây tránh sâu xanh
Dưa leo,Nắng nhẹ sau mưa,Tưới nhỏ giọt,Bảo vệ cây khỏi sốc nhiệt
Cà tím,Nhiệt độ cao > 35°C,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với nảy mầm kém
Chuối,Gió mạnh,Tưới nước định kỳ,Giảm nguy cơ suy kiệt
Mía,Nhiệt độ thấp < 15°C,Dừng bón phân đạm,Giảm nguy cơ thiếu nước
Thanh long,Mưa lớn,Tưới nước định kỳ,Bảo vệ cây khỏi sâu xanh
Cà chua,Trời âm u,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi héo rũ
Cà chua,Trời âm u,Bón vôi cải tạo đất,Giảm nguy cơ đạo ôn
Thanh long,Nhiệt độ dao động mạnh trong ngày,Tỉa thưa cây con,Hạn chế ảnh hưởng của sâu xanh
Rau màu,Nắng nhẹ sau mưa,Tưới nhỏ giọt,Giảm nguy cơ thiếu nước
Đậu phụng,Nhiều ngày nắng,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của vàng lá
Ớt,Nắng nhẹ sau mưa,Phun chế phẩm sinh học,Giúp cây tránh sâu xanh
Cà chua,Nhiệt độ cao > 35°C,Tưới nhỏ giọt,Bảo vệ cây khỏi bạc lá
Mía,Nắng nhẹ sau mưa,Bón vôi cải tạo đất,Bảo vệ cây khỏi thối rễ
Xoài,Sương mù dày,Phun chế phẩm sinh học,Giúp cây tránh cháy lá
Đậu phụng,Trời nhiều mây,Tưới nước định kỳ,Bảo vệ cây khỏi rụng hoa
Chuối,Nhiệt độ thấp < 15°C,Phun chế phẩm sinh học,Giảm nguy cơ vàng lá
Cải bẹ,Nắng gắt,Tăng cường thoát nước,Giảm nguy cơ rụng hoa
Cải bẹ,Độ ẩm không khí cao,Phun chế phẩm sinh học,Giảm nguy cơ suy kiệt
Xoài,Sương mù dày,Bắt sâu thủ công,Giúp cây tránh ngập úng
Dưa leo,Nắng gắt,Tưới nước định kỳ,Hạn chế ảnh hưởng của rụng hoa
Ngô,Độ ẩm không khí cao,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của rụng hoa
Xoài,Có áp thấp nhiệt đới,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ sâu xanh
Ớt,Có áp thấp nhiệt đới,Bắt sâu thủ công,Hạn chế ảnh hưởng của ngập úng
Xoài,Nắng gắt,Phun thuốc phòng bệnh,Giảm nguy cơ bạc lá
Cà tím,Mưa lớn,Phun thuốc phòng bệnh,Bảo vệ cây khỏi nấm bệnh
Cải bẹ,Mưa rào nhẹ,Đào mương xung quanh ruộng,Giúp cây tránh héo rũ
Ớt,Gió mạnh,Phun thuốc phòng bệnh,Giúp cây tránh đạo ôn
Cà chua,Nhiệt độ thấp < 15°C,Trì hoãn gieo trồng,Giúp cây tránh sốc nhiệt
Cà tím,Trời lạnh buổi sáng,Che phủ rơm/gỗ mục,Giảm nguy cơ đạo ôn
Cải bẹ,Trời âm u,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của sâu xanh
Mía,Nắng gắt,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với đạo ôn
Cải bẹ,Trời nhiều mây,Phun chế phẩm sinh học,Giảm nguy cơ ngập úng
Dưa leo,Mưa lớn,Bắt sâu thủ công,Hạn chế ảnh hưởng của sâu xanh
Sắn,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Giảm nguy cơ ngập úng
Rau màu,Trời lạnh buổi sáng,Tăng cường thoát nước,Tăng khả năng chống chịu với sâu xanh
Cà tím,Trời âm u,Theo dõi sát thời tiết,Bảo vệ cây khỏi nấm bệnh
Đậu phụng,Nắng nhẹ sau mưa,Che phủ rơm/gỗ mục,Giúp cây tránh nấm bệnh
Sắn,Trời nhiều mây,Tưới nhỏ giọt,Hạn chế ảnh hưởng của rụng hoa
Rau màu,Mưa rào nhẹ,Tăng cường thoát nước,Hạn chế ảnh hưởng của héo rũ
Cà chua,Độ ẩm không khí cao,Bón phân hữu cơ,Bảo vệ cây khỏi vàng lá
Rau màu,Nắng gắt,Tăng cường thoát nước,Giảm nguy cơ héo rũ
Sắn,Độ ẩm không khí cao,Tỉa thưa cây con,Giảm nguy cơ rụng hoa
Dưa hấu,Trời lạnh buổi sáng,Tưới nhỏ giọt,Giúp cây tránh bạc lá
Dưa hấu,Sương mù dày,Tỉa thưa cây con,Tăng khả năng chống chịu với vàng lá
Xoài,Nắng gắt,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi sốc nhiệt
Thanh long,Độ ẩm thấp,Bón vôi cải tạo đất,Bảo vệ cây khỏi sâu xanh
Sắn,Trời lạnh buổi sáng,Che chắn bằng lưới,Giúp cây tránh nảy mầm kém
Mía,Có áp thấp nhiệt đới,Phun thuốc phòng bệnh,Bảo vệ cây khỏi thiếu nước
Dưa leo,Độ ẩm không khí cao,Tưới nhỏ giọt,Tăng khả năng chống chịu với ngập úng
Bắp cải,Mưa rào nhẹ,Tưới nước định kỳ,Hạn chế ảnh hưởng của rụng hoa
Chuối,Trời nhiều mây,Tưới nhỏ giọt,Tăng khả năng chống chịu với héo rũ
Rau màu,Nắng nhẹ sau mưa,Che phủ rơm/gỗ mục,Giúp cây tránh nảy mầm kém
Lúa,Sương mù dày,Tưới nhỏ giọt,Giảm nguy cơ đạo ôn
Dưa leo,Sương mù dày,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi nảy mầm kém
Lúa,Nhiệt độ thấp < 15°C,Tưới nước định kỳ,Bảo vệ cây khỏi nấm bệnh
Lúa,Độ ẩm thấp,Tăng cường thoát nước,Tăng khả năng chống chịu với suy kiệt
Ngô,Nhiệt độ dao động mạnh trong ngày,Bón phân hữu cơ,Bảo vệ cây khỏi bạc lá
Lúa,Gió mạnh,Phun chế phẩm sinh học,Giúp cây tránh thối rễ
Xoài,Độ ẩm thấp,Che chắn bằng lưới,Bảo vệ cây khỏi héo rũ
Dưa leo,Nhiệt độ cao > 35°C,Phun chế phẩm sinh học,Giúp cây tránh vàng lá
Bắp cải,Nắng nhẹ sau mưa,Phun thuốc phòng bệnh,Giúp cây tránh sốc nhiệt
Bắp cải,Mưa lớn,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi cháy lá
Xoài,Mưa lớn,Dừng bón phân đạm,Hạn chế ảnh hưởng của nấm bệnh
Sắn,Nhiệt độ dao động mạnh trong ngày,Bón vôi cải tạo đất,Bảo vệ cây khỏi vàng lá
Ngô,Trời âm u,Che chắn bằng lưới,Giúp cây tránh suy kiệt
Bắp cải,Trời lạnh buổi sáng,Tưới nước định kỳ,Giúp cây tránh vàng lá
Thanh long,Trời âm u,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của nảy mầm kém
Sắn,Gió mạnh,Bắt sâu thủ công,Giúp cây tránh thiếu nước
Cải bẹ,Có áp thấp nhiệt đới,Bắt sâu thủ công,Hạn chế ảnh hưởng của sốc nhiệt
Dưa hấu,Sương mù dày,Bón vôi cải tạo đất,Giúp cây tránh héo rũ
Cà chua,Nhiệt độ cao > 35°C,Bắt sâu thủ công,Giảm nguy cơ cháy lá
Chuối,Nhiệt độ thấp < 15°C,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với rụng hoa
Thanh long,Nhiệt độ cao > 35°C,Tưới nhỏ giọt,Hạn chế ảnh hưởng của thối rễ
Chuối,Gió mạnh,Che chắn bằng lưới,Bảo vệ cây khỏi thiếu nước
Ớt,Nhiều ngày nắng,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của héo rũ
Rau màu,Nắng gắt,Dừng bón phân đạm,Bảo vệ cây khỏi sốc nhiệt
Cà tím,Độ ẩm thấp,Bón phân hữu cơ,Tăng khả năng chống chịu với thối rễ
Bắp cải,Nắng nhẹ sau mưa,Phun thuốc phòng bệnh,Giảm nguy cơ suy kiệt
Chuối,Trời âm u,Tỉa thưa cây con,Bảo vệ cây khỏi rụng hoa
Ớt,Sương mù dày,Trì hoãn gieo trồng,Giảm nguy cơ rụng hoa
Dưa leo,Mưa lớn,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của vàng lá
Thanh long,Mưa rào nhẹ,Đào mương xung quanh ruộng,Bảo vệ cây khỏi thối rễ
Dưa leo,Mưa rào nhẹ,Theo dõi sát thời tiết,Giảm nguy cơ thối rễ
Bắp cải,Mưa lớn,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của vàng lá
Cà chua,Mưa rào nhẹ,Tưới nhỏ giọt,Giúp cây tránh nấm bệnh
Cà chua,Gió mạnh,Phun thuốc phòng bệnh,Giúp cây tránh thiếu nước
Đậu phụng,Nhiều ngày nắng,Tưới nước định kỳ,Hạn chế ảnh hưởng của thiếu nước
Mía,Nhiệt độ thấp < 15°C,Bón phân hữu cơ,Giảm nguy cơ đạo ôn
Cà chua,Trời lạnh buổi sáng,Tưới nước định kỳ,Giảm nguy cơ thiếu nước
Rau màu,Nắng gắt,Tưới nhỏ giọt,Giúp cây tránh nấm bệnh
Rau màu,Có áp thấp nhiệt đới,Bón phân hữu cơ,Giảm nguy cơ thiếu nước
Thanh long,Độ ẩm không khí cao,Phun thuốc phòng bệnh,Giảm nguy cơ héo rũ
Mía,Nhiệt độ cao > 35°C,Bón phân hữu cơ,Giúp cây tránh nảy mầm kém
Rau màu,Độ ẩm không khí cao,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với suy kiệt
Ngô,Trời nhiều mây,Tăng cường thoát nước,Hạn chế ảnh hưởng của thiếu nước
Chuối,Trời lạnh buổi sáng,Tưới nhỏ giọt,Giảm nguy cơ suy kiệt
Dưa leo,Nhiệt độ thấp < 15°C,Trì hoãn gieo trồng,Giúp cây tránh suy kiệt
Cà tím,Trời âm u,Bắt sâu thủ công,Hạn chế ảnh hưởng của nảy mầm kém
Dưa leo,Trời âm u,Dừng bón phân đạm,Giúp cây tránh héo rũ
Ngô,Trời nhiều mây,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với thối rễ
Đậu phụng,Độ ẩm không khí cao,Tưới nhỏ giọt,Hạn chế ảnh hưởng của thối rễ
Xoài,Mưa lớn,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi rụng hoa
Rau màu,Mưa rào nhẹ,Bón vôi cải tạo đất,Giúp cây tránh héo rũ
Chuối,Sương mù dày,Che chắn bằng lưới,Bảo vệ cây khỏi thối rễ
Ngô,Trời nhiều mây,Trì hoãn gieo trồng,Bảo vệ cây khỏi nảy mầm kém
